DAZN LaLiga HD,LA LIGA,DAZN LALIGA,http://127.0.0.1:6878/ace/getstream?id=a5144874f66a0872fd0b5a484cd426eb7d8eaa26
LaLiga TV Hypermotion HD,HYPERMOTION,LALIGA TV HYPERMOTION,http://127.0.0.1:6878/ace/getstream?id=994c4ab30f6ea98f8199a583fa1049d51ea136af
M+ Deportes HD,MOVISTAR,M. Deportes HD,http://127.0.0.1:6878/ace/getstream?id=acb510858f34c3c6fd5f79395b031abd6885c2b3
M+ Golf HD,MOVISTAR,M. Golf HD,http://127.0.0.1:6878/ace/getstream?id=872608e734992db636eb79426802cd08f4029afb
M+ LaLiga TV HD,LA LIGA,M. LaLiga,http://127.0.0.1:6878/ace/getstream?id=cc9b7f5fe416069a2110da0909b0f915043c468b
M+ Liga de Campeones HD,LIGA DE CAMPEONES,M. Liga de Campeones,http://127.0.0.1:6878/ace/getstream?id=e572a5178ff72eed7d1d751a18b4b3419699f370
DAZN 1 HD,DAZN,DAZN1,http://127.0.0.1:6878/ace/getstream?id=d5b2c6b940cf3df5e8f9dc6f000f0ea23a10b151
DAZN 2 HD,DAZN,DAZN2,http://127.0.0.1:6878/ace/getstream?id=b0eabe0fdd02fdd165896236765a9b753a2ff516
DAZN 3 HD,DAZN,DAZN3,http://127.0.0.1:6878/ace/getstream?id=d1d9ec2361a6ac8edc0b2841866383768cc28df9
DAZN 4 HD,DAZN,DAZN4,http://127.0.0.1:6878/ace/getstream?id=7e90956539f4e1318a63f3960e4f75c7c7c5a3b8
Eurosport 1 HD,EUROSPORT,Eurosport 1 HD,http://127.0.0.1:6878/ace/getstream?id=f5a5a5bf9903bde0c865e421f126c42e514ff787
Eurosport 1 HD,EUROSPORT,Eurosport 1 hd,http://127.0.0.1:6878/ace/getstream?id=23a4937f1484b435af132dbfb3e8fd3aefc9baad
UK | Sky Sport Arena,SKYSPORTS,Sky Sports Arena [UK],http://127.0.0.1:6878/ace/getstream?id=d317a003e8047da2c36a2a2bb2289578c9a3b79c
UK | Sky Sport Cricket,SKYSPORTS,Sky Sports Cricket [UK],http://127.0.0.1:6878/ace/getstream?id=6d95e4b0893e155cc674b84e0763150c445d3ddd
UK | Sky Sport Football,SKYSPORTS,Sky Sports Football [UK],http://127.0.0.1:6878/ace/getstream?id=8dbe2d515e9131fa311353537736f8c94be9b26d
UK | Sky Sport Main Event,SKYSPORTS,Sky Sports Main Event [UK],http://127.0.0.1:6878/ace/getstream?id=eab7aeef0218ce8b0752e596e4792b69eda4df5e
,MOTOR,AutoMotorSport HD,http://127.0.0.1:6878/ace/getstream?id=6791a2d1587e8c68eac10815f22aed439b0f6c9f
,MOTOR,Canal Motor (720p),http://127.0.0.1:6878/ace/getstream?id=31ef168d43c7cd04e672475f7ec33b99b9fe5a96
,MOTOR,Motors TV HD,http://127.0.0.1:6878/ace/getstream?id=8d475e2688519f2c602687b71be54cedbaef9e6b
