id,import_date,name_original,name_new,iptv_epg_id_original,iptv_epg_id_new,iptv_group_original,iptv_group_new,FHD,iptv_url,activo
53,2025-03-31 12:30:10.906,LIGA DE CAMPEONES FHD --> NEW ERA,L Campeones,M+ Liga de Campeones HD,M+ Liga de Campeones HD,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=ac73acd09d79c46cb818bfd945f20198d1718a85,1
54,2025-03-31 12:30:10.906,LIGA DE CAMPEONES FHD --> NEW ERA,L Campeones,M+ Liga de Campeones HD,M+ Liga de Campeones HD,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=f43a021e8fd63334a4bf3fb11ffe58f89039a1d0,1
55,2025-03-31 12:30:10.906,LIGA DE CAMPEONES FHD --> NEW ERA,L Campeones,M+ Liga de Campeones HD,M+ Liga de Campeones HD,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=840f68a0dc6e27c2927a16b4d42b9401ac50270b,1
56,2025-03-31 12:30:10.906,LIGA DE CAMPEONES FHD --> NEW ERA,L Campeones,M+ Liga de Campeones HD,M+ Liga de Campeones HD,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=fe521a6e9d2ff31616125fa75bac6b0deb52b6b9,1
57,2025-03-31 12:30:10.906,LIGA DE CAMPEONES FHD --> NEW ERA,L Campeones,M+ Liga de Campeones HD,M+ Liga de Campeones HD,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=05057e832dd1530c7d5e8b0857fee6826243a243,1
58,2025-03-31 12:30:10.906,LIGA DE CAMPEONES FHD --> NEW ERA,L Campeones,M+ Liga de Campeones HD,M+ Liga de Campeones HD,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=ba87f528de030aad56576f7cbb9d8bbd7efd62b9,1
59,2025-03-31 12:30:10.906,LIGA DE CAMPEONES --> NEW LOOP,L Campeones,M+ Liga de Campeones HD,M+ Liga de Campeones HD,LIGA DE CAMPEONES,LIGA CAMPEONES,0,http://127.0.0.1:6878/ace/getstream?id=e572a5178ff72eed7d1d751a18b4b3419699f370,1
60,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 10 FHD --> NEW ERA,L Campeones 10,M+ Liga de Campeones 10,M+ Liga de Campeones 10,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=acd1991f35379b01cb09b6a7cc4390c34c6e2bf9,1
61,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 11 FHD --> NEW ERA,L Campeones 11,M+ Liga de Campeones 11,M+ Liga de Campeones 11,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=d8550602603193bfa75bf61587dbbb9b3a9a00c7,1
62,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 12 FHD --> NEW ERA,L Campeones 12,M+ Liga de Campeones 12,M+ Liga de Campeones 12,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=d697e4effe3525a0bc64a5c141d766e9ee6c11a3,1
63,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 13 FHD --> NEW ERA,L Campeones 13,M+ Liga de Campeones 13,M+ Liga de Campeones 13,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=43515b0f66e642bfcd800298006911658e208b49,1
64,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 14 SD --> NEW ERA,L Campeones 14,M+ Liga de Campeones 14,M+ Liga de Campeones 14,LIGA DE CAMPEONES,LIGA CAMPEONES,0,http://127.0.0.1:6878/ace/getstream?id=f3ad05b2a9a94251ef07682019728ff55ad35922,1
65,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 15 SD --> NEW ERA,L Campeones 15,M+ Liga de Campeones 15,M+ Liga de Campeones 15,LIGA DE CAMPEONES,LIGA CAMPEONES,0,http://127.0.0.1:6878/ace/getstream?id=e0928b70e63fe0484bf9aeb6de6086ef44efff08,1
66,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 16 SD --> NEW ERA,L Campeones 16,M+ Liga de Campeones 16,M+ Liga de Campeones 16,LIGA DE CAMPEONES,LIGA CAMPEONES,0,http://127.0.0.1:6878/ace/getstream?id=ce59b6b3640ab5af081d7629cf31bd0efd98561a,1
67,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 17 SD --> NEW ERA,L Campeones 17,M+ Liga de Campeones 17,M+ Liga de Campeones 17,LIGA DE CAMPEONES,LIGA CAMPEONES,0,http://127.0.0.1:6878/ace/getstream?id=d7b25d4babb6cfa64ce92f9c35b9c3dadee0b5c3,1
68,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 2 FHD --> NEW ERA,L Campeones 02,M+ Liga de Campeones 2 HD,M+ Liga de Campeones 2 HD,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=deb8972491e3817ba2335662d7855d2c2c05a900,1
69,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 2 FHD --> NEW ERA,L Campeones 02,M+ Liga de Campeones 2 HD,M+ Liga de Campeones 2 HD,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=bd6fa847d9eb4e6fa44b68da1304bf8684ef8acb,1
70,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 2 FHD --> NEW ERA,L Campeones 02,M+ Liga de Campeones 2 HD,M+ Liga de Campeones 2 HD,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=f7fa79fdad436e969a82389a062a74564e91b10e,1
71,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 2 --> ELCANO,L Campeones 02,M+ Liga de Campeones 2 HD,M+ Liga de Campeones 2 HD,LIGA DE CAMPEONES,LIGA CAMPEONES,0,http://127.0.0.1:6878/ace/getstream?id=abdf9058786a48623d0de51a3adb414ae10b6e72,1
72,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 3 FHD --> NEW ERA,L Campeones 03,M+ Liga de Campeones 3 HD,M+ Liga de Campeones 3 HD,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=8e65f92af1de567f0af83562c5a14a3db6dc8ac8,1
73,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 3 FHD --> NEW ERA,L Campeones 03,M+ Liga de Campeones 3 HD,M+ Liga de Campeones 3 HD,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=4d754e0b6b583d01668de8544c43cad6a1b253da,1
74,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 3 FHD --> NEW ERA,L Campeones 03,M+ Liga de Campeones 3 HD,M+ Liga de Campeones 3 HD,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=509e91774b5b2d0af80883c8d4217c3b53235231,1
75,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 4 FHD --> NEW ERA,L Campeones 04,M+ Liga de Campeones 4,M+ Liga de Campeones 4,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=5a8323792bb3d48f71d1f690d3f5ec4ad5b48301,1
76,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 4 FHD --> NEW ERA,L Campeones 04,M+ Liga de Campeones 4,M+ Liga de Campeones 4,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=291ef48025291b7241ef370f657d0e47132c6fb0,1
77,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 5 FHD --> NEW ERA,L Campeones 05,M+ Liga de Campeones 5,M+ Liga de Campeones 5,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=47ab133c0bd7c9e6eb6f11661d33101a9d3bfce3,1
78,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 5 FHD --> NEW ERA,L Campeones 05,M+ Liga de Campeones 5,M+ Liga de Campeones 5,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=7c3791bfaf9b4b215cc63fa2d61902f9bf3da7ff,1
79,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 6 FHD --> NEW ERA,L Campeones 06,M+ Liga de Campeones 6,M+ Liga de Campeones 6,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=c1de133576bc8b82db0891d850f5e2d448dac9d6,1
80,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 7 FHD --> NEW ERA,L Campeones 07,M+ Liga de Campeones 7,M+ Liga de Campeones 7,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=67492877ee4314e8e88c49eaedc82c556750ae9f,1
81,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 8 FHD --> NEW ERA,L Campeones 08,M+ Liga de Campeones 8,M+ Liga de Campeones 8,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=7dd235ecd152c3d303f29aeaa0728d5c8b588f7c,1
82,2025-03-31 12:30:10.906,LIGA DE CAMPEONES 9 FHD --> NEW ERA,L Campeones 09,M+ Liga de Campeones 9,M+ Liga de Campeones 9,LIGA DE CAMPEONES,LIGA CAMPEONES,1,http://127.0.0.1:6878/ace/getstream?id=a792ff171d110e6d890cb1b5db9d6507d1f292b7,1
83,2025-03-31 12:30:10.906,DAZN 1 FHD --> NEW ERA,DAZN 1,DAZN 1 HD,DAZN 1 HD,DAZN,DAZN,1,http://127.0.0.1:6878/ace/getstream?id=e6a00cb2912609dceeeee88d3f66a2de9718b421,1
84,2025-03-31 12:30:10.906,DAZN 1 FHD --> NEW ERA,DAZN 1,DAZN 1 HD,DAZN 1 HD,DAZN,DAZN,1,http://127.0.0.1:6878/ace/getstream?id=a7e083d922be14a0496d65aad2ff8ea9c8011bd0,1
85,2025-03-31 12:30:10.906,DAZN 1 FHD --> NEW ERA,DAZN 1,DAZN 1 HD,DAZN 1 HD,DAZN,DAZN,1,http://127.0.0.1:6878/ace/getstream?id=d5446f3cc8e42ba965fd9f1c73b1e2ac3921a6ab,1
86,2025-03-31 12:30:10.906,DAZN 1 FHD --> NEW ERA,DAZN 1,DAZN 1 HD,DAZN 1 HD,DAZN,DAZN,1,http://127.0.0.1:6878/ace/getstream?id=71a65780b9c542a8c9e4084ae5aefdd9286da51e,1
87,2025-03-31 12:30:10.906,DAZN 1 --> ELCANO,DAZN 1,DAZN 1 HD,DAZN 1 HD,DAZN,DAZN,0,http://127.0.0.1:6878/ace/getstream?id=35c7f0c966ecde3390f4510bb4caded40018c07a,1
